# Cores,# Cluster,# Iterations,% Changes,Threshold,END Before 300,Time
OMP/MPI (1 Cores) (File: test_files/input2D.inp),10,1000,0.1,1,True,0:00:01.420467
OMP/MPI (2 Cores) (File: test_files/input2D.inp),10,1000,0.1,1,True,0:00:01.517959
OMP/MPI (3 Cores) (File: test_files/input2D.inp),10,1000,0.1,1,True,0:00:01.469487
OMP/MPI (4 Cores) (File: test_files/input2D.inp),10,1000,0.1,1,True,0:00:01.523708
OMP/MPI (1 Cores) (File: test_files/input20D.inp),10,1000,0.1,1,True,0:00:01.719867
OMP/MPI (2 Cores) (File: test_files/input20D.inp),10,1000,0.1,1,True,0:00:01.518692
OMP/MPI (3 Cores) (File: test_files/input20D.inp),10,1000,0.1,1,True,0:00:01.618804
OMP/MPI (4 Cores) (File: test_files/input20D.inp),10,1000,0.1,1,True,0:00:01.624881
OMP/MPI (1 Cores) (File: test_files/input100D2.inp),10,1000,0.1,1,True,0:00:23.819880
OMP/MPI (2 Cores) (File: test_files/input100D2.inp),10,1000,0.1,1,True,0:00:13.544028
OMP/MPI (3 Cores) (File: test_files/input100D2.inp),10,1000,0.1,1,True,0:00:09.987860
OMP/MPI (4 Cores) (File: test_files/input100D2.inp),10,1000,0.1,1,True,0:00:08.945331
OMP/MPI (1 Cores) (File: test_files/input2D.inp),100,1000,0.1,1,True,0:00:01.668219
OMP/MPI (2 Cores) (File: test_files/input2D.inp),100,1000,0.1,1,True,0:00:01.519295
OMP/MPI (3 Cores) (File: test_files/input2D.inp),100,1000,0.1,1,True,0:00:01.522180
OMP/MPI (4 Cores) (File: test_files/input2D.inp),100,1000,0.1,1,True,0:00:01.569863
OMP/MPI (1 Cores) (File: test_files/input20D.inp),100,1000,0.1,1,True,0:00:01.819750
OMP/MPI (2 Cores) (File: test_files/input20D.inp),100,1000,0.1,1,True,0:00:01.669031
OMP/MPI (3 Cores) (File: test_files/input20D.inp),100,1000,0.1,1,True,0:00:01.619164
OMP/MPI (4 Cores) (File: test_files/input20D.inp),100,1000,0.1,1,True,0:00:01.618665
OMP/MPI (1 Cores) (File: test_files/input100D2.inp),100,1000,0.1,1,True,0:00:34.742937
OMP/MPI (2 Cores) (File: test_files/input100D2.inp),100,1000,0.1,1,True,0:00:18.657101
OMP/MPI (3 Cores) (File: test_files/input100D2.inp),100,1000,0.1,1,True,0:00:13.355642
OMP/MPI (4 Cores) (File: test_files/input100D2.inp),100,1000,0.1,1,True,0:00:11.646483
OMP/MPI (1 Cores) (File: test_files/input2D.inp),1000,1000,0.1,1,True,0:00:01.726251
OMP/MPI (2 Cores) (File: test_files/input2D.inp),1000,1000,0.1,1,True,0:00:01.569793
OMP/MPI (3 Cores) (File: test_files/input2D.inp),1000,1000,0.1,1,True,0:00:01.619731
OMP/MPI (4 Cores) (File: test_files/input2D.inp),1000,1000,0.1,1,True,0:00:01.570193
OMP/MPI (1 Cores) (File: test_files/input20D.inp),1000,1000,0.1,1,True,0:00:02.470325
OMP/MPI (2 Cores) (File: test_files/input20D.inp),1000,1000,0.1,1,True,0:00:02.069418
OMP/MPI (3 Cores) (File: test_files/input20D.inp),1000,1000,0.1,1,True,0:00:01.920106
OMP/MPI (4 Cores) (File: test_files/input20D.inp),1000,1000,0.1,1,True,0:00:01.873042
OMP/MPI (1 Cores) (File: test_files/input100D2.inp),1000,1000,0.1,1,True,0:01:21.783920
OMP/MPI (2 Cores) (File: test_files/input100D2.inp),1000,1000,0.1,1,True,0:00:42.059043
OMP/MPI (3 Cores) (File: test_files/input100D2.inp),1000,1000,0.1,1,True,0:00:29.240271
OMP/MPI (4 Cores) (File: test_files/input100D2.inp),1000,1000,0.1,1,True,0:00:24.418226
OMP/MPI (1 Cores) (File: test_files/input2D.inp),10000,1000,0.1,1,True,0:00:02.270444
OMP/MPI (2 Cores) (File: test_files/input2D.inp),10000,1000,0.1,1,True,0:00:01.871085
OMP/MPI (3 Cores) (File: test_files/input2D.inp),10000,1000,0.1,1,True,0:00:01.669219
OMP/MPI (4 Cores) (File: test_files/input2D.inp),10000,1000,0.1,1,True,0:00:01.719136
OMP/MPI (1 Cores) (File: test_files/input20D.inp),10000,1000,0.1,1,True,0:00:03.974554
OMP/MPI (2 Cores) (File: test_files/input20D.inp),10000,1000,0.1,1,True,0:00:02.779234
OMP/MPI (3 Cores) (File: test_files/input20D.inp),10000,1000,0.1,1,True,0:00:02.423143
OMP/MPI (4 Cores) (File: test_files/input20D.inp),10000,1000,0.1,1,True,0:00:02.372157
OMP/MPI (1 Cores) (File: test_files/input100D2.inp),10000,1000,0.1,1,False,-1
OMP/MPI (2 Cores) (File: test_files/input100D2.inp),10000,1000,0.1,1,True,0:03:03.231482
OMP/MPI (3 Cores) (File: test_files/input100D2.inp),10000,1000,0.1,1,True,0:02:09.250818
OMP/MPI (4 Cores) (File: test_files/input100D2.inp),10000,1000,0.1,1,True,0:01:53.196967
OMP/MPI (1 Cores) (File: test_files/input2D.inp),100000,1000,0.1,1,True,0:00:03.421799
OMP/MPI (2 Cores) (File: test_files/input2D.inp),100000,1000,0.1,1,True,0:00:02.571027
OMP/MPI (3 Cores) (File: test_files/input2D.inp),100000,1000,0.1,1,True,0:00:02.219687
OMP/MPI (4 Cores) (File: test_files/input2D.inp),100000,1000,0.1,1,True,0:00:02.020157
OMP/MPI (1 Cores) (File: test_files/input20D.inp),100000,1000,0.1,1,True,0:00:14.345278
OMP/MPI (2 Cores) (File: test_files/input20D.inp),100000,1000,0.1,1,True,0:00:09.294915
OMP/MPI (3 Cores) (File: test_files/input20D.inp),100000,1000,0.1,1,True,0:00:08.729475
OMP/MPI (4 Cores) (File: test_files/input20D.inp),100000,1000,0.1,1,True,0:00:07.944520
OMP/MPI (1 Cores) (File: test_files/input100D2.inp),100000,1000,0.1,1,False,-1
OMP/MPI (2 Cores) (File: test_files/input100D2.inp),100000,1000,0.1,1,False,-1
OMP/MPI (3 Cores) (File: test_files/input100D2.inp),100000,1000,0.1,1,False,-1
OMP/MPI (4 Cores) (File: test_files/input100D2.inp),100000,1000,0.1,1,False,-1
