# Cores,# Cluster,# Iterations,% Changes,Threshold,END Before 300,Time
OMP/MPI (1 Cores),10,1000,0.1,1,True,0:00:01.768505
OMP/MPI (2 Cores),10,1000,0.1,1,True,0:00:01.668822
OMP/MPI (3 Cores),10,1000,0.1,1,True,0:00:01.618253
OMP/MPI (4 Cores),10,1000,0.1,1,True,0:00:01.669608
OMP/MPI (1 Cores),100,1000,0.1,1,True,0:00:02.270082
OMP/MPI (2 Cores),100,1000,0.1,1,True,0:00:01.970339
OMP/MPI (3 Cores),100,1000,0.1,1,True,0:00:01.870243
OMP/MPI (4 Cores),100,1000,0.1,1,True,0:00:01.770136
OMP/MPI (1 Cores),1000,1000,0.1,1,True,0:00:03.972607
OMP/MPI (2 Cores),1000,1000,0.1,1,True,0:00:02.921122
OMP/MPI (3 Cores),1000,1000,0.1,1,True,0:00:02.627303
OMP/MPI (4 Cores),1000,1000,0.1,1,True,0:00:02.324337
OMP/MPI (1 Cores),10000,1000,0.1,1,True,0:00:13.946914
OMP/MPI (2 Cores),10000,1000,0.1,1,True,0:00:08.134794
OMP/MPI (3 Cores),10000,1000,0.1,1,True,0:00:06.382012
OMP/MPI (4 Cores),10000,1000,0.1,1,True,0:00:06.133477
OMP/MPI (1 Cores),100000,1000,0.1,1,True,0:01:05.952313
OMP/MPI (2 Cores),100000,1000,0.1,1,True,0:00:34.652913
OMP/MPI (3 Cores),100000,1000,0.1,1,True,0:00:27.665615
OMP/MPI (4 Cores),100000,1000,0.1,1,True,0:00:27.596452
