# Cores,# Cluster,# Iterations,% Changes,Threshold,END Before 300,Time
OMP/MPI (1 Cores),10,1000,0.1,1,True,0:00:24.311821
OMP/MPI (2 Cores),10,1000,0.1,1,True,0:00:13.342507
OMP/MPI (3 Cores),10,1000,0.1,1,True,0:00:09.935902
OMP/MPI (4 Cores),10,1000,0.1,1,True,0:00:08.739561
OMP/MPI (1 Cores),100,1000,0.1,1,True,0:00:34.885108
OMP/MPI (2 Cores),100,1000,0.1,1,True,0:00:18.802590
OMP/MPI (3 Cores),100,1000,0.1,1,True,0:00:13.349002
OMP/MPI (4 Cores),100,1000,0.1,1,True,0:00:11.136546
OMP/MPI (1 Cores),1000,1000,0.1,1,False,-1
OMP/MPI (2 Cores),1000,1000,0.1,1,True,0:00:43.100027
OMP/MPI (3 Cores),1000,1000,0.1,1,True,0:00:29.479570
OMP/MPI (4 Cores),1000,1000,0.1,1,True,0:00:23.609282
OMP/MPI (1 Cores),10000,1000,0.1,1,False,-1
OMP/MPI (2 Cores),10000,1000,0.1,1,True,0:03:07.529776
OMP/MPI (3 Cores),10000,1000,0.1,1,True,0:01:59.415956
OMP/MPI (4 Cores),10000,1000,0.1,1,True,0:01:48.374400
OMP/MPI (1 Cores),100000,1000,0.1,1,False,-1
OMP/MPI (2 Cores),100000,1000,0.1,1,False,-1
OMP/MPI (3 Cores),100000,1000,0.1,1,False,-1
OMP/MPI (4 Cores),100000,1000,0.1,1,False,-1
