FILE,# Cluster,CUDA,OMP/MPI,Speedup
100D2,10,1.116125,3.023314,2.7087593235524694
100D2,100,1.6670639999999999,6.3354230000000005,3.8003477970851756
100D2,1000,3.3695880000000002,46.659588,13.847267974601047
100D2,10000,11.88139,88.571629,7.4546521072029455
100D2,100000,57.029919,10000000000.0,175346558.00580743
100D2,1000000,10000000000.0,10000000000.0,1.0
20D,10,0.314778,1.4683899999999999,4.664843159305923
20D,100,0.365459,1.468545,4.018357736435551
20D,1000,0.314641,1.569394,4.987887783219605
20D,10000,0.263937,2.017328,7.643217889117479
20D,100000,0.514337,7.280102,14.15434238641202
20D,1000000,2.668464,116.545702,43.675201164415185
2D,10,0.314358,1.418998,4.513955426615515
2D,100,0.264883,1.425878,5.38304836474972
2D,1000,0.264981,1.471315,5.5525301814092325
2D,10000,0.213945,1.416799,6.622258056977261
2D,100000,0.263997,1.867457,7.073781141452365
2D,1000000,0.664859,15.957895,24.00192371615636
