Type,# Cluster,# Iterations,% Changes,Threshold,END Before 300,Time
OMP/MPI (File: test_files/input2D.inp),10,1000,0.1,2,True,0:00:01.418998
CUDA (File: test_files/input2D.inp),10,1000,0.1,2,True,0:00:00.314358
OMP/MPI (File: test_files/input20D.inp),10,1000,0.1,2,True,0:00:01.468390
CUDA (File: test_files/input20D.inp),10,1000,0.1,2,True,0:00:00.314778
OMP/MPI (File: test_files/input100D2.inp),10,1000,0.1,2,True,0:00:03.023314
CUDA (File: test_files/input100D2.inp),10,1000,0.1,2,True,0:00:01.116125
OMP/MPI (File: test_files/input2D.inp),100,1000,0.1,2,True,0:00:01.425878
CUDA (File: test_files/input2D.inp),100,1000,0.1,2,True,0:00:00.264883
OMP/MPI (File: test_files/input20D.inp),100,1000,0.1,2,True,0:00:01.468545
CUDA (File: test_files/input20D.inp),100,1000,0.1,2,True,0:00:00.365459
OMP/MPI (File: test_files/input100D2.inp),100,1000,0.1,2,True,0:00:06.335423
CUDA (File: test_files/input100D2.inp),100,1000,0.1,2,True,0:00:01.667064
OMP/MPI (File: test_files/input2D.inp),1000,1000,0.1,2,True,0:00:01.471315
CUDA (File: test_files/input2D.inp),1000,1000,0.1,2,True,0:00:00.264981
OMP/MPI (File: test_files/input20D.inp),1000,1000,0.1,2,True,0:00:01.569394
CUDA (File: test_files/input20D.inp),1000,1000,0.1,2,True,0:00:00.314641
OMP/MPI (File: test_files/input100D2.inp),1000,1000,0.1,2,True,0:00:46.659588
CUDA (File: test_files/input100D2.inp),1000,1000,0.1,2,True,0:00:03.369588
OMP/MPI (File: test_files/input2D.inp),10000,1000,0.1,2,True,0:00:01.416799
CUDA (File: test_files/input2D.inp),10000,1000,0.1,2,True,0:00:00.213945
OMP/MPI (File: test_files/input20D.inp),10000,1000,0.1,2,True,0:00:02.017328
CUDA (File: test_files/input20D.inp),10000,1000,0.1,2,True,0:00:00.263937
OMP/MPI (File: test_files/input100D2.inp),10000,1000,0.1,2,True,0:01:28.571629
CUDA (File: test_files/input100D2.inp),10000,1000,0.1,2,True,0:00:11.881390
OMP/MPI (File: test_files/input2D.inp),100000,1000,0.1,2,True,0:00:01.867457
CUDA (File: test_files/input2D.inp),100000,1000,0.1,2,True,0:00:00.263997
OMP/MPI (File: test_files/input20D.inp),100000,1000,0.1,2,True,0:00:07.280102
CUDA (File: test_files/input20D.inp),100000,1000,0.1,2,True,0:00:00.514337
OMP/MPI (File: test_files/input100D2.inp),100000,1000,0.1,2,False,-1
CUDA (File: test_files/input100D2.inp),100000,1000,0.1,2,True,0:00:57.029919
OMP/MPI (File: test_files/input2D.inp),1000000,1000,0.1,2,True,0:00:15.957895
CUDA (File: test_files/input2D.inp),1000000,1000,0.1,2,True,0:00:00.664859
OMP/MPI (File: test_files/input20D.inp),1000000,1000,0.1,2,True,0:01:56.545702
CUDA (File: test_files/input20D.inp),1000000,1000,0.1,2,True,0:00:02.668464
OMP/MPI (File: test_files/input100D2.inp),1000000,1000,0.1,2,False,-1
CUDA (File: test_files/input100D2.inp),1000000,1000,0.1,2,False,-1
