Type,# Cluster,# Iterations,% Changes,Threshold,END Before 300,Time
SEQ,10,1000,0.1,1,True,0:00:00.214244
OMP/MPI,10,1000,0.1,1,True,0:00:01.877694
CUDA,10,1000,0.1,1,True,0:00:00.364525
SEQ,100,1000,0.1,1,True,0:00:00.715166
OMP/MPI,100,1000,0.1,1,True,0:00:01.821728
CUDA,100,1000,0.1,1,True,0:00:00.414892
SEQ,1000,1000,0.1,1,True,0:00:02.419580
OMP/MPI,1000,1000,0.1,1,True,0:00:02.372973
CUDA,1000,1000,0.1,1,True,0:00:00.665074
SEQ,10000,1000,0.1,1,True,0:00:11.738107
OMP/MPI,10000,1000,0.1,1,True,0:00:05.929293
CUDA,10000,1000,0.1,1,True,0:00:01.015989
SEQ,100000,1000,0.1,1,True,0:01:00.139857
OMP/MPI,100000,1000,0.1,1,True,0:00:27.947426
CUDA,100000,1000,0.1,1,True,0:00:03.172081
