Type,# Cluster,# Iterations,% Changes,Threshold,END Before 300,Time
SEQ,10,1000,0.1,1,True,0:00:10.587043
OMP/MPI,10,1000,0.1,1,True,0:00:08.539881
CUDA,10,1000,0.1,1,True,0:00:01.717048
SEQ,100,1000,0.1,1,True,0:00:28.414569
OMP/MPI,100,1000,0.1,1,True,0:00:11.393084
CUDA,100,1000,0.1,1,True,0:00:02.168275
SEQ,1000,1000,0.1,1,True,0:01:15.304844
OMP/MPI,1000,1000,0.1,1,True,0:00:25.028789
CUDA,1000,1000,0.1,1,True,0:00:04.573340
SEQ,10000,1000,0.1,1,True,0:04:50.364118
OMP/MPI,10000,1000,0.1,1,True,0:01:54.698515
CUDA,10000,1000,0.1,1,True,0:00:15.141601
SEQ,100000,1000,0.1,1,False,-1
OMP/MPI,100000,1000,0.1,1,False,-1
CUDA,100000,1000,0.1,1,True,0:00:59.728274
